,Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training,HRMS_CE,Converted_CE
80,N-Acetyl-MN,222.097216,4.5,5.17,126.1,1,8,0,20.0,11.47389329052618
81,N-Acetyl-MN,222.097216,4.5,5.17,138.1,1,12,0,20.0,11.47389329052618
82,N-Acetyl-MN,222.097216,4.5,5.17,204.1,1,4,0,10.0,6.7450340194855745
83,NANA,310.113256,5.17,5.65,274.1,1,4,0,10.0,8.743588868437973
84,NANA,310.113256,5.17,5.65,60.2,1,24,0,35.0,20.565737046039484
85,NANA,310.113256,5.17,5.65,121.1,1,24,0,40.0,22.930166681559786
86,NANA,310.113256,5.17,5.65,59.3,1,4,0,25.0,15.83687777499888
87,NAD,664.116396,6.12,6.54,136.0,1,40,0,50.0,35.697273208343496
88,NAD,664.116396,6.12,6.54,428.0,1,24,0,25.0,23.875125030741987
89,NAD,664.116396,6.12,6.54,232.1,1,24,0,25.0,23.875125030741987
90,NAD,664.116396,6.12,6.54,542.0,1,12,0,10.0,16.78183612418108
91,S-Adenosylmethionine,399.144516,7.54,7.94,250.1,1,12,0,20.0,15.494055296325692
92,S-Adenosylmethionine,399.144516,7.54,7.94,136.1,1,28,0,40.0,24.9517738384069
93,S-Adenosylmethionine,399.144516,7.54,7.94,97.1,1,36,0,40.0,24.9517738384069
94,S-Adenosylmethionine,399.144516,7.54,7.94,102.1,1,24,0,30.0,20.222914567366296
95,Selenomethionine,198.002772,4.22,4.73,56.2,1,20,0,40.0,20.38450623811561
96,Selenomethionine,198.002772,4.22,4.73,181.0,1,8,0,10.0,6.197928424993796
97,Selenomethionine,198.002772,4.22,4.73,109.0,1,24,0,40.0,20.38450623811561
98,Selenomethionine,198.002772,4.22,4.73,152.0,1,8,0,10.0,6.197928424993796
99,Serotonine,177.102239,11.96,15.04,160.1,1,8,0,20.0,10.452205317949229
100,Serotonine,177.102239,11.96,15.04,115.1,1,32,0,60.0,29.367642402111642
101,Serotonine,177.102239,11.96,15.04,117.1,1,28,0,50.0,24.63878313107104
102,Serotonine,177.102239,11.96,15.04,132.1,1,20,0,40.0,19.909923860030435
103,Succinyl-CoA,868.1385284,7.95,8.26,261.1,1,40,0,35.0,33.23665605117769
104,Succinyl-CoA,868.1385284,7.95,8.26,528.0,1,24,0,20.0,26.143367144616782
105,Succinyl-CoA,868.1385284,7.95,8.26,462.4,1,32,0,25.0,28.507796780137085
106,Tryptophan,205.0971536,4.5,5.02,188.1,1,4,0,10.0,6.35901850297275
107,Tryptophan,205.0971536,4.5,5.02,146.1,1,16,0,30.0,15.81673704505396
108,Tryptophan,205.0971536,4.5,5.02,118.1,1,28,0,50.0,25.27445558713517
109,Tryptophan,205.0971536,4.5,5.02,91.2,1,40,0,80.0,39.46103340025698
110,Uracil,113.034556,1.84,2.53,70.2,1,16,0,35.0,16.090727814651256
111,Uracil,113.034556,1.84,2.53,96.1,1,16,0,25.0,11.361868543610655
113,Uridine,245.076816,2.81,3.67,113.1,1,8,0,20.0,11.995684443672657
114,Uridine,245.076816,2.81,3.67,70.2,1,40,0,70.0,35.639980798875676
115,Uridine,245.076816,2.81,3.67,96.1,1,40,0,70.0,35.639980798875676
116,Uridine,245.076816,2.81,3.67,57.3,1,28,0,50.0,26.18226225679447
117,UDP-N-acetyl-GN,608.0888455,6.9,7.34,204.1,1,12,0,10.0,15.509634685367198
118,UDP-N-acetyl-GN,608.0888455,6.9,7.34,138.1,1,40,0,40.0,29.69621249848901
119,UDP-N-acetyl-GN,608.0888455,6.9,7.34,186.1,1,24,0,25.0,22.602923591928104
120,UDP-N-acetyl-GN,608.0888455,6.9,7.34,168.0,1,28,0,30.0,24.967353227448406
121,cAMP,328.0452437,1.78,3.57,134.0,-1,20,1,35.0,20.972913521704488
122,cAMP,328.0452437,1.78,3.57,79.1,-1,36,1,80.0,42.25278024138721
123,cGMP,344.0401540000001,5.17,5.58,150.1,-1,20,0,35.0,21.336105339225746
124,cGMP,344.0401540000001,5.17,5.58,133.0,-1,40,0,60.0,33.15825351682726
125,cGMP,344.0401540000001,5.17,5.58,79.0,-1,36,0,80.0,42.61597205890847
126,6-PGA,275.0173608,8.53,8.92,79.0,-1,40,0,70.0,36.31983211904774
127,6-PGA,275.0173608,8.53,8.92,97.0,-1,12,0,20.0,12.675535763844714
130,Adenine,134.047224,2.18,3.22,107.1,-1,16,1,30.0,14.203426774337318
131,Adenine,134.047224,2.18,3.22,92.1,-1,20,1,40.0,18.93228604537792
132,Adenine,134.047224,2.18,3.22,65.2,-1,36,1,60.0,28.39000458745913
133,Adenosine,266.08948080000005,2.12,3.34,134.1,-1,8,1,30.0,17.201672237258144
134,Adenosine,266.08948080000005,2.12,3.34,107.0,-1,40,1,60.0,31.38825005037996
135,ADP,426.022134,6.96,7.77,79.0,-1,36,1,70.0,39.748653975766324
136,ADP,426.022134,6.96,7.77,134.0,-1,24,1,25.0,18.4687872560836
137,ADP,426.022134,6.96,7.77,328.0,-1,8,1,20.0,16.1043576205633
138,ADP,426.022134,6.96,7.77,158.9,-1,28,1,35.0,23.197646527124206
139,Asparagine,131.046214,6.4,6.86,113.1,-1,4,0,10.0,4.677565163251247
141,Asparagine,131.046214,6.4,6.86,114.0,-1,8,0,20.0,9.406424434291852
142,Asparagine,131.046214,6.4,6.86,83.3,-1,4,0,30.0,14.135283705332457
143,ATP,505.988474,7.98,8.51,158.9,-1,40,1,40.0,27.377848794087328
144,Cellobiose,341.108944,6.96,7.35,161.0,-1,4,0,20.0,14.17625829213957
145,Cellobiose,341.108944,6.96,7.35,101.1,-1,8,0,30.0,18.90511756318017
146,Cellobiose,341.108944,6.96,7.35,73.2,-1,24,0,35.0,21.269547198700472
148,Chelidamate,182.009524,6.46,6.95,94.1,-1,16,0,30.0,15.292492894920676
149,Chelidamate,182.009524,6.46,6.95,138.0,-1,8,0,20.0,10.563633623880072
151,Chelidamate,182.009524,6.46,6.95,66.1,-1,40,0,60.0,29.479070708042485
152,cis-Aconitate,173.009164,8.05,9.74,85.1,-1,8,0,20.0,10.35926504378584
153,cis-Aconitate,173.009164,8.05,9.74,129.0,-1,4,0,10.0,5.630405772745235
155,cis-Aconitate,173.009164,8.05,9.74,111.0,-1,4,0,10.0,5.630405772745235
156,Citrate,191.019724,8.85,9.32,111.0,-1,8,1,20.0,10.768225638017846
157,Citrate,191.019724,8.85,9.32,87.1,-1,16,1,25.0,13.13265527353815
158,Citrate,191.019724,8.85,9.32,85.1,-1,16,1,25.0,13.13265527353815
159,Citrate,191.019724,8.85,9.32,67.1,-1,24,1,50.0,24.954803451139657
160,CMP-sialic-acid,613.1399915,7.0,7.4,322.0,-1,16,0,20.0,20.353188872596558
161,CMP-sialic-acid,613.1399915,7.0,7.4,79.0,-1,40,0,80.0,48.726344498840184
162,Cystine,239.016574,6.95,7.43,120.1,-1,4,0,10.0,7.129217004451286
163,Cystine,239.016574,6.95,7.43,74.1,-1,16,0,40.0,21.3157948175731
164,Cytidine,242.07824080000003,4.5,4.98,109.5,-1,4,0,20.0,11.927596660969545
166,DHAP,168.990724,6.65,7.23,97.0,-1,4,0,10.0,5.539160214012709
167,DHAP,168.990724,6.65,7.23,79.1,-1,24,0,60.0,29.18345656921573
168,F6P,259.022444,7.21,8.25,97.0,-1,12,0,20.0,12.312343798729831
169,F6P,259.022444,7.21,8.25,79.1,-1,40,0,80.0,40.68549942497346
170,FBP,338.9887740000001,8.9,9.33,97.0,-1,20,0,30.0,18.856975474146136
171,Fumarate,115.003684,7.2,7.72,71.2,-1,4,0,10.0,4.31329205892885
172,G1P,259.022444,7.31,8.17,79.1,-1,28,0,80.0,40.68549942497346
173,GN6P,258.038424,7.48,8.03,79.1,-1,40,0,80.0,40.663155566485095
174,GN6P,258.038424,7.48,8.03,97.0,-1,16,0,30.0,17.01885921128207
175,G6P,259.022444,7.28,8.25,97.1,-1,12,1,20.0,12.312343798729831
176,Glutamine,145.061864,6.37,6.72,127.1,-1,8,0,20.0,9.724673758718623
178,Glutamine,145.061864,6.37,6.72,109.1,-1,8,0,20.0,9.724673758718623
179,Glutamine,145.061864,6.37,6.72,99.1,-1,8,0,25.0,12.089103394238926
180,G3P,168.99074850000005,6.8,7.81,97.0,-1,4,0,10.0,5.539160770327149
181,G3P,168.99074850000005,6.8,7.81,79.0,-1,28,0,60.0,29.18345712553017
182,Guanosine,282.08439080000005,5.08,5.48,150.1,-1,16,0,30.0,17.56486404796739
183,Guanosine,282.08439080000005,5.08,5.48,133.0,-1,32,0,50.0,27.0225825900486
184,Guanosine,282.08439080000005,5.08,5.48,108.0,-1,36,0,70.0,36.48030113212981
185,Homocystine,267.04787400000004,7.06,7.53,132.1,-1,4,0,10.0,7.765715653304831
186,Homocystine,267.04787400000004,7.06,7.53,72.2,-1,12,0,20.0,12.494574924345436
187,Homocystine,267.04787400000004,7.06,7.53,115.0,-1,16,0,20.0,12.494574924345436
188,Homocystine,267.04787400000004,7.06,7.53,134.0,-1,8,0,20.0,12.494574924345436
189,Hydroxyglutarate,147.0298974,6.75,7.16,129.1,-1,8,0,10.0,5.0405020547904495
190,Hydroxyglutarate,147.0298974,6.75,7.16,57.2,-1,20,0,35.0,16.86265023239196
191,Hydroxyglutarate,147.0298974,6.75,7.16,85.1,-1,12,0,25.0,12.133790961351355
192,Hydroxyglutarate,147.0298974,6.75,7.16,101.1,-1,12,0,25.0,12.133790961351355
193,Indole-3-acetate,174.0560525,1.32,2.4,130.1,-1,8,0,10.0,5.65417716814075
194,Indole-3-acetate,174.0560525,1.32,2.4,128.1,-1,20,0,30.0,15.11189571022196
195,Isocitrate,191.019724,8.48,9.76,111.0,-1,12,0,20.0,10.768225638017846
196,Isocitrate,191.019724,8.48,9.76,173.0,-1,4,0,10.0,6.039366366977241
197,Isocitrate,191.019724,8.48,9.76,73.1,-1,20,0,40.0,20.225944180099052
198,Isocitrate,191.019724,8.48,9.76,85.1,-1,16,0,25.0,13.13265527353815
199,Malate,133.014244,7.19,7.76,115.0,-1,8,0,20.0,9.451111924201461
200,Malate,133.014244,7.19,7.76,71.1,-1,12,0,30.0,14.179971195242066
202,Malate,133.014244,7.19,7.76,73.1,-1,16,0,30.0,14.179971195242066
203,Mannitol,181.0717608,5.56,5.97,59.2,-1,20,0,40.0,20.000058647296623
204,Mannitol,181.0717608,5.56,5.97,71.2,-1,20,0,30.0,15.27119937625602
205,Mannitol,181.0717608,5.56,5.97,89.1,-1,12,0,20.0,10.542340105215416
