,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
79,G6P,7.28,8.25,261.03702000000004,1,173.46,10.0,4565.221995241605
80,Glutamine,6.37,6.72,147.07644,1,84.04,30.0,1684804.5677917404
81,Glutamine,6.37,6.72,147.07644,1,130.05,10.0,1279709.8965728693
82,Glutamine,6.37,6.72,147.07644,1,64.93,60.0,577151.6324955518
83,Glutamine,6.37,6.72,147.07644,1,56.05,60.0,472278.35534885374
84,Glutamine,6.37,6.72,147.07644,1,123.96,20.0,386696.73769500694
85,Guanosine,5.08,5.48,284.0989664,1,152.06,25.0,2334390.6875950773
86,Guanosine,5.08,5.48,284.0989664,1,153.04,60.0,626451.7770295631
87,Guanosine,5.08,5.48,284.0989664,1,135.03,70.0,544855.700804375
88,Guanosine,5.08,5.48,284.0989664,1,110.03,70.0,342776.18678406253
89,Guanosine,5.08,5.48,284.0989664,1,128.05,60.0,111821.07882235915
90,Histamine,11.17,15.53,112.0869473,1,95.06,25.0,2425329.426366392
91,Histamine,11.17,15.53,112.0869473,1,68.05,40.0,680538.4550350712
92,Histamine,11.17,15.53,112.0869473,1,83.06,30.0,221978.63930741508
93,Histamine,11.17,15.53,112.0869473,1,54.03,80.0,156862.24541336574
94,Histamine,11.17,15.53,112.0869473,1,81.04,70.0,99742.18777319422
95,Histidine,7.42,9.15,156.07678,1,110.07,20.0,531848.5681232325
96,Histidine,7.42,9.15,156.07678,1,83.06,50.0,175660.42499297528
97,Histidine,7.42,9.15,156.07678,1,56.05,70.0,108243.77103390235
98,Histidine,7.42,9.15,156.07678,1,93.04,50.0,103986.42253444927
99,Histidine,7.42,9.15,156.07678,1,82.05,60.0,63964.49216354515
100,Homocystine,7.06,7.53,269.06245,1,136.04,10.0,254041.7074948911
101,Homocystine,7.06,7.53,269.06245,1,88.02,60.0,183823.32716778206
102,Homocystine,7.06,7.53,269.06245,1,90.04,40.0,120313.55927365391
