,Name,mz,Product mz,rt_start,rt_end,CE,Charge,Training,HRMS_CE,Converted_CE
85,Cystine,239.016574,120.0,6.95,7.43,20,-1,0,10.0,10.735366550326223
86,Cystine,239.016574,72.0,6.95,7.43,40,-1,0,60.0,33.43779560083657
87,Cytidine,242.07824080000003,108.9,4.5,4.98,12,-1,0,20.0,15.33900580150947
88,DHAP,168.990724,97.0,6.65,7.23,10,-1,0,10.0,9.290933278836862
89,DHAP,168.990724,79.0,6.65,7.23,40,-1,0,60.0,31.993362329347217
90,FBP,338.9887740000001,97.0,8.9,9.33,20,-1,0,30.0,21.87847910711291
91,FBP,338.9887740000001,78.9,8.9,9.33,40,-1,0,80.0,44.58090815762326
92,F6P,259.022444,96.8,7.21,8.25,12,-1,0,20.0,15.688516315997427
93,F6P,259.022444,79.0,7.21,8.25,40,-1,0,80.0,42.93143117660985
94,GN6P,258.038424,96.9,7.48,8.03,16,-1,0,30.0,20.208704604144238
95,GN6P,258.038424,78.9,7.48,8.03,40,-1,0,80.0,42.911133654654584
96,Glutamate,146.045884,127.9,6.16,6.54,8,-1,0,10.0,8.817646766713127
97,Glutamate,146.045884,101.9,6.16,6.54,12,-1,0,20.0,13.358132576815196
98,Glutamine,145.061864,127.0,6.37,6.72,8,-1,0,20.0,13.337835054859934
100,G3P,168.99074850000005,79.0,6.8,7.81,20,-1,0,60.0,31.99336283471224
101,G3P,168.99074850000005,97.0,6.8,7.81,20,-1,0,10.0,9.290933784201885
102,Guanosine,282.08439080000005,132.9,5.08,5.48,36,-1,0,50.0,29.785675837220605
103,Guanosine,282.08439080000005,150.0,5.08,5.48,20,-1,0,30.0,20.704704217016463
104,G6P,259.022444,96.9,7.28,8.25,16,-1,1,20.0,15.688516315997427
105,G6P,259.022444,79.0,7.28,8.25,40,-1,1,80.0,42.93143117660985
108,Indole-3-acetate,174.0560525,130.0,1.32,2.4,30,-1,0,10.0,9.395416537753723
109,Indole-3-acetate,174.0560525,128.0,1.32,2.4,30,-1,0,30.0,18.476388157957867
110,Isocitrate,191.019724,111.0,8.48,9.76,10,-1,0,20.0,14.285814437765675
111,Isocitrate,191.019724,73.0,8.48,9.76,40,-1,0,40.0,23.36678605796982
114,Malate,133.014244,115.0,7.19,7.76,10,-1,0,20.0,13.08932706573505
115,Malate,133.014244,71.0,7.19,7.76,20,-1,0,30.0,17.62981287583712
117,NAD,662.101844,328.1,6.12,6.54,28,-1,0,35.0,30.813621742207506
118,NAD,662.101844,540.1,6.12,6.54,16,-1,0,10.0,19.46240721695233
121,AKG,145.014244,100.9,6.84,7.28,4,-1,0,10.0,8.796366980174307
122,AKG,145.014244,57.2,6.84,7.28,20,-1,0,20.0,13.336852790276378
123,PEP,166.9750984,79.0,8.44,8.78,16,-1,0,20.0,13.789842490018595
125,R5P,229.0118778,97.0,7.05,7.54,20,-1,0,20.0,15.069484054118222
126,R5P,229.0118778,79.0,7.05,7.54,40,-1,0,80.0,42.31239891473064
127,Selenomethionine,195.9882208,94.9,4.22,4.73,12,-1,0,20.0,14.388300335290781
128,Succinate,117.019334,98.9,6.59,7.01,8,-1,0,20.0,12.759397758508106
129,Succinate,117.019334,73.0,6.59,7.01,12,-1,0,20.0,12.759397758508106
131,Uridine,243.062264,200.0,2.81,3.67,8,-1,0,10.0,10.818817579369522
132,Uridine,243.062264,109.9,2.81,3.67,16,-1,0,20.0,15.359303389471593
134,UDP-N-acetyl-GN,606.0742935,159.0,6.9,7.34,40,-1,0,50.0,36.468662121378244
