Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training
Tryptophan,205.0971536,4.5,5.02,146.1,1,16,0
Tryptophan,205.0971536,4.5,5.02,118.1,1,28,0
Tryptophan,205.0971536,4.5,5.02,91.2,1,40,0
Uracil,113.034556,1.84,2.53,70.2,1,16,0
Uracil,113.034556,1.84,2.53,96.1,1,16,0
Uracil,113.034556,1.84,2.53,42.3,1,32,0
Uridine,245.076816,2.81,3.67,113.1,1,8,0
Uridine,245.076816,2.81,3.67,70.2,1,40,0
Uridine,245.076816,2.81,3.67,96.1,1,40,0
Uridine,245.076816,2.81,3.67,57.3,1,28,0
UDP-N-acetyl-GN,608.0888455,6.9,7.34,204.1,1,12,0
UDP-N-acetyl-GN,608.0888455,6.9,7.34,138.1,1,40,0
UDP-N-acetyl-GN,608.0888455,6.9,7.34,186.1,1,24,0
UDP-N-acetyl-GN,608.0888455,6.9,7.34,168,1,28,0
cAMP,328.0452437,1.78,3.57,134,-1,20,1
cAMP,328.0452437,1.78,3.57,79.1,-1,36,1
cGMP,344.040154,5.17,5.58,150.1,-1,20,0
cGMP,344.040154,5.17,5.58,133,-1,40,0
cGMP,344.040154,5.17,5.58,79,-1,36,0
6-PGA,275.0173608,8.53,8.92,79,-1,40,0
6-PGA,275.0173608,8.53,8.92,97,-1,12,0
Acetoacetyl-CoA,850.129064,6.1,6.57,453.3,-1,4,0
Acetyl-CoA,808.118494,6.02,6.43,423.6,-1,32,1
Adenine,134.047224,2.18,3.22,107.1,-1,16,1
Adenine,134.047224,2.18,3.22,92.1,-1,20,1
Adenine,134.047224,2.18,3.22,65.2,-1,36,1
Adenosine,266.0894808,2.12,3.34,134.1,-1,8,1
Adenosine,266.0894808,2.12,3.34,107,-1,40,1
ADP,426.022134,6.96,7.77,79,-1,36,1
ADP,426.022134,6.96,7.77,134,-1,24,1
ADP,426.022134,6.96,7.77,328,-1,8,1
ADP,426.022134,6.96,7.77,158.9,-1,28,1
Asparagine,131.046214,6.4,6.86,113.1,-1,4,0
Asparagine,131.046214,6.4,6.86,42.2,-1,24,0
Asparagine,131.046214,6.4,6.86,114,-1,8,0
Asparagine,131.046214,6.4,6.86,83.3,-1,4,0
ATP,505.988474,7.98,8.51,158.9,-1,40,1
Cellobiose,341.108944,6.96,7.35,161,-1,4,0
Cellobiose,341.108944,6.96,7.35,101.1,-1,8,0
Cellobiose,341.108944,6.96,7.35,73.2,-1,24,0
Cellobiose,341.108944,6.96,7.35,192.6,-1,16,0
Chelidamate,182.009524,6.46,6.95,94.1,-1,16,0
Chelidamate,182.009524,6.46,6.95,138,-1,8,0
Chelidamate,182.009524,6.46,6.95,41.2,-1,32,0
Chelidamate,182.009524,6.46,6.95,66.1,-1,40,0
cis-Aconitate,173.009164,8.05,9.74,85.1,-1,8,0
cis-Aconitate,173.009164,8.05,9.74,129,-1,4,0
cis-Aconitate,173.009164,8.05,9.74,41.2,-1,16,0
cis-Aconitate,173.009164,8.05,9.74,111,-1,4,0
Citrate,191.019724,8.85,9.32,111,-1,8,1
Citrate,191.019724,8.85,9.32,87.1,-1,16,1
Citrate,191.019724,8.85,9.32,85.1,-1,16,1
Citrate,191.019724,8.85,9.32,67.1,-1,24,1
CMP-sialic-acid,613.1399915,7,7.4,322,-1,16,0
CMP-sialic-acid,613.1399915,7,7.4,79,-1,40,0
Cystine,239.016574,6.95,7.43,120.1,-1,4,0
Cystine,239.016574,6.95,7.43,74.1,-1,16,0
Cytidine,242.0782408,4.5,4.98,109.5,-1,4,0
Cytidine,242.0782408,4.5,4.98,42.1,-1,12,0
DHAP,168.990724,6.65,7.23,97,-1,4,0
DHAP,168.990724,6.65,7.23,79.1,-1,24,0
F6P,259.022444,7.21,8.25,97,-1,12,0
F6P,259.022444,7.21,8.25,79.1,-1,40,0
FBP,338.988774,8.9,9.33,97,-1,20,0
Fumarate,115.003684,7.2,7.72,71.2,-1,4,0
G1P,259.022444,7.31,8.17,79.1,-1,28,0
GN6P,258.038424,7.48,8.03,79.1,-1,40,0
GN6P,258.038424,7.48,8.03,97,-1,16,0
G6P,259.022444,7.28,8.25,97.1,-1,12,1
Glutamine,145.061864,6.37,6.72,127.1,-1,8,0
Glutamine,145.061864,6.37,6.72,42.1,-1,20,0
Glutamine,145.061864,6.37,6.72,109.1,-1,8,0
Glutamine,145.061864,6.37,6.72,99.1,-1,8,0
G3P,168.9907485,6.8,7.81,97,-1,4,0
G3P,168.9907485,6.8,7.81,79,-1,28,0
Guanosine,282.0843908,5.08,5.48,150.1,-1,16,0
Guanosine,282.0843908,5.08,5.48,133,-1,32,0
Guanosine,282.0843908,5.08,5.48,108,-1,36,0
Homocystine,267.047874,7.06,7.53,132.1,-1,4,0
Homocystine,267.047874,7.06,7.53,72.2,-1,12,0
Homocystine,267.047874,7.06,7.53,115,-1,16,0
Homocystine,267.047874,7.06,7.53,134,-1,8,0
Hydroxyglutarate,147.0298974,6.75,7.16,129.1,-1,8,0
Hydroxyglutarate,147.0298974,6.75,7.16,57.2,-1,20,0
Hydroxyglutarate,147.0298974,6.75,7.16,85.1,-1,12,0
Hydroxyglutarate,147.0298974,6.75,7.16,101.1,-1,12,0
Indole-3-acetate,174.0560525,1.32,2.4,130.1,-1,8,0
Indole-3-acetate,174.0560525,1.32,2.4,128.1,-1,20,0
Isocitrate,191.019724,8.48,9.76,111,-1,12,0
Isocitrate,191.019724,8.48,9.76,173,-1,4,0
Isocitrate,191.019724,8.48,9.76,73.1,-1,20,0
Isocitrate,191.019724,8.48,9.76,85.1,-1,16,0
Malate,133.014244,7.19,7.76,115,-1,8,0
Malate,133.014244,7.19,7.76,71.1,-1,12,0
Malate,133.014244,7.19,7.76,43.2,-1,20,0
Malate,133.014244,7.19,7.76,73.1,-1,16,0
Mannitol,181.0717608,5.56,5.97,59.2,-1,20,0
Mannitol,181.0717608,5.56,5.97,71.2,-1,20,0
Mannitol,181.0717608,5.56,5.97,89.1,-1,12,0
Mannitol,181.0717608,5.56,5.97,138.6,-1,4,0
N-Acetyl-GN1P,300.0489916,6.59,7.07,79.1,-1,28,0
N-Acetyl-MN,220.082664,4.5,5.17,59.3,-1,16,0
N-Acety-MN6P,300.049024,6.59,7.07,97,-1,20,0
N-Acety-MN6P,300.049024,6.59,7.07,175.6,-1,20,0
NANA,308.098704,5.17,5.65,87.1,-1,8,0
NANA,308.098704,5.17,5.65,170.1,-1,8,0
NANA,308.098704,5.17,5.65,98.1,-1,20,0
NANA,308.098704,5.17,5.65,43.2,-1,32,0
NAD,662.101844,6.12,6.54,540,-1,8,0
NAD,662.101844,6.12,6.54,633.9,-1,16,0
PEP,166.9750984,8.44,8.78,79,-1,8,0
Ribose,149.0455474,4.32,4.82,89,-1,4,0
R5P,229.0118778,7.05,7.54,167.9,-1,20,0
Selenomethionine,195.9882208,4.22,4.73,95,-1,8,0
Serotonine,175.087687,11.96,15.04,79.1,-1,28,0
Serotonine,175.087687,11.96,15.04,157,-1,12,0
Succinate,117.019334,6.59,7.01,73.1,-1,8,0
Trehalose,341.108944,6.96,7.35,59.2,-1,40,0
Trehalose,341.108944,6.96,7.35,89,-1,16,0
Trehalose,341.108944,6.96,7.35,119,-1,16,0
Trehalose,341.108944,6.96,7.35,179,-1,8,0
Tryptophan,203.0826016,4.5,5.02,116,-1,12,0
Tryptophan,203.0826016,4.5,5.02,142.1,-1,12,0
Tryptophan,203.0826016,4.5,5.02,74.2,-1,12,0
Tryptophan,203.0826016,4.5,5.02,159,-1,4,0
Uracil,111.020004,1.84,2.53,42.2,-1,16,0
