,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
67,G1P,259.02242,7.31,8.17,-1,241.125,11.32,61,0,20.0,14.90202824116896
68,G1P,259.02242,7.31,8.17,-1,78.97,25.98,61,0,80.0,39.38998946332864
69,G1P,259.02242,7.31,8.17,-1,97.113,13.89,61,0,20.0,14.90202824116896
70,G1P,259.02242,7.31,8.17,-1,139.042,15.19,61,0,20.0,14.90202824116896
71,G1P,259.02242,7.31,8.17,-1,169.03,12.03,61,0,10.0,10.820701370809013
72,GN6P,258.0384,7.48,8.03,-1,96.97,17.01,55,0,30.0,18.95709907211271
73,GN6P,258.0384,7.48,8.03,-1,199.071,10.05,55,0,10.0,10.794445331392817
74,GN6P,258.0384,7.48,8.03,-1,240.196,10.1,55,0,10.0,10.794445331392817
75,GN6P,258.0384,7.48,8.03,-1,79.042,37.65,55,0,80.0,39.36373342391244
76,GN6P,258.0384,7.48,8.03,-1,139.042,18.86,55,0,30.0,18.95709907211271
77,G6P,259.02242,7.28,8.25,-1,97.042,14.98,54,1,20.0,14.90202824116896
78,G6P,259.02242,7.28,8.25,-1,199.071,9.84,54,1,10.0,10.820701370809013
79,G6P,259.02242,7.28,8.25,-1,79.042,35.67,54,1,80.0,39.38998946332864
80,G6P,259.02242,7.28,8.25,-1,169.042,9.89,54,1,10.0,10.820701370809013
81,G6P,259.02242,7.28,8.25,-1,139.042,14.1,54,1,20.0,14.90202824116896
82,G3P,168.9907245,6.8,7.81,-1,96.97,6.85,36,0,10.0,8.418437447560562
83,G3P,168.9907245,6.8,7.81,-1,78.863,26.82,36,0,60.0,28.8250717993603
84,G3P,168.9907245,6.8,7.81,-1,151.095,6.81,36,0,10.0,8.418437447560562
85,G3P,168.9907245,6.8,7.81,-1,139.071,9.04,36,0,35.0,18.621754623460433
87,Hydroxyglutarate,147.0298734,6.75,7.16,-1,129.054,10.1,41,0,10.0,7.832468694796587
88,Hydroxyglutarate,147.0298734,6.75,7.16,-1,100.845,13.8,41,0,25.0,13.954459000336508
89,Hydroxyglutarate,147.0298734,6.75,7.16,-1,85.167,14.44,41,0,25.0,13.954459000336508
90,Hydroxyglutarate,147.0298734,6.75,7.16,-1,103.054,13.51,41,0,20.0,11.913795565156535
91,Hydroxyglutarate,147.0298734,6.75,7.16,-1,56.857,18.1,41,0,35.0,18.035785870696458
92,Isocitrate,191.0197,8.48,9.76,-1,173.071,9.25,42,0,10.0,9.00622392448828
93,Isocitrate,191.0197,8.48,9.76,-1,155.196,12.5,42,0,20.0,13.087550794848227
94,Isocitrate,191.0197,8.48,9.76,-1,73.125,20.37,42,0,40.0,21.250204535568123
97,Lactate,89.0244,1.49,2.51,-1,71.083,9.3,33,1,20.0,10.36606889705477
99,Lactate,89.0244,1.49,2.51,-1,87.054,8.29,33,1,20.0,10.36606889705477
100,Malate,133.01422,7.19,7.76,-1,115.054,10.81,36,0,20.0,11.53982395064246
101,Malate,133.01422,7.19,7.76,-1,73.054,15.87,36,0,30.0,15.621150821002407
102,Malate,133.01422,7.19,7.76,-1,71.125,14.69,36,0,30.0,15.621150821002407
103,Mannitol,181.0717364,5.56,5.97,-1,89.054,14.18,39,0,20.0,12.822115006558882
104,Mannitol,181.0717364,5.56,5.97,-1,101.185,14.56,39,0,20.0,12.822115006558882
105,Mannitol,181.0717364,5.56,5.97,-1,119.196,11.87,39,0,10.0,8.740788136198935
106,Mannitol,181.0717364,5.56,5.97,-1,71.125,19.95,39,0,30.0,16.90344187691883
107,Mannitol,181.0717364,5.56,5.97,-1,163.113,10.86,39,0,10.0,8.740788136198935
110,Oxamate,88.00399999999998,4.07,4.54,-1,60.155,5.25,30,0,10.0,6.257515280673109
111,PEP,166.97507439999995,8.44,8.78,-1,78.97,12.58,30,0,20.0,12.44598188618654
112,PEP,166.97507439999995,8.44,8.78,-1,139.042,5.25,30,0,70.0,32.852616237986275
113,PEP,166.97507439999995,8.44,8.78,-1,63.03,55.0,30,0,80.0,36.93394310834622
115,Pyruvate,87.00874,6.47,8.31,-1,78.702,12.29,32,0,25.0,12.352949636344773
116,Pyruvate,87.00874,6.47,8.31,-1,77.101,17.89,32,0,40.0,18.474939941884696
118,Pyruvate,87.00874,6.47,8.31,-1,59.113,5.25,32,0,70.0,30.718920552964537
119,R5P,229.0118538,7.05,7.54,-1,96.988,11.87,44,0,20.0,14.101273572514303
120,R5P,229.0118538,7.05,7.54,-1,79.042,32.72,44,0,80.0,38.589234794673985
121,Selenomethionine,195.9881964,4.22,4.73,-1,94.917,10.43,30,0,20.0,13.220122325221213
122,Selenomethionine,195.9881964,4.22,4.73,-1,79.708,44.64,30,0,80.0,37.708083547380895
123,Selenomethionine,195.9881964,4.22,4.73,-1,100.042,7.78,30,0,80.0,37.708083547380895
124,Succinate,117.01931,6.59,7.01,-1,73.125,11.36,32,0,20.0,11.113040971212667
125,Succinate,117.01931,6.59,7.01,-1,55.125,15.36,32,0,30.0,15.194367841572614
126,Succinate,117.01931,6.59,7.01,-1,99.071,10.22,32,0,20.0,11.113040971212667
132,Trehalose,341.10892,6.96,7.35,-1,89.125,19.36,64,0,25.0,19.132958520048817
133,Trehalose,341.10892,6.96,7.35,-1,179.113,13.42,64,0,20.0,17.092295084868844
135,Uridine,243.06224,2.81,3.67,-1,200.196,10.56,43,0,10.0,10.394845071984212
136,Uridine,243.06224,2.81,3.67,-1,152.185,13.05,43,0,20.0,14.476171942344159
137,Uridine,243.06224,2.81,3.67,-1,111.054,9.04,43,0,10.0,10.394845071984212
138,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,385.071,26.23,176,0,30.0,28.243539904455535
139,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,282.1790000000001,30.53,176,0,30.0,28.243539904455535
140,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,403.071,24.92,176,0,25.0,26.202876469275562
141,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,273.04200000000003,34.02,176,0,35.0,30.284203339635507
142,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,362.071,25.35,176,0,30.0,28.243539904455535
143,Acetoacetyl-CoA,852.14364,6.1,6.57,1,345.101,31.79,120,0,25.0,32.768603884334695
144,Acetoacetyl-CoA,852.14364,6.1,6.57,1,428.196,28.97,120,0,20.0,30.727940449154723
145,Acetoacetyl-CoA,852.14364,6.1,6.57,1,261.208,41.82,120,0,35.0,36.84993075469464
146,Acetoacetyl-CoA,852.14364,6.1,6.57,1,243.065,31.41,120,0,20.0,30.727940449154723
147,Acetyl-CoA,810.13307,6.02,6.43,1,303.101,31.58,125,1,30.0,33.68832345473869
148,Acetyl-CoA,810.13307,6.02,6.43,1,428.196,26.9,125,1,20.0,29.60699658437875
149,Acetyl-CoA,810.13307,6.02,6.43,1,410.125,24.25,125,1,20.0,29.60699658437875
150,Acetyl-CoA,810.13307,6.02,6.43,1,136.125,48.09,125,1,40.0,37.76965032509864
151,Acetyl-CoA,810.13307,6.02,6.43,1,401.208,22.61,125,1,20.0,29.60699658437875
152,Adenosine,268.10405640000005,2.12,3.34,1,136.125,19.57,62,1,30.0,19.225675189659395
153,Adenosine,268.10405640000005,2.12,3.34,1,119.054,47.38,62,1,80.0,39.63230954145912
154,Adenosine,268.10405640000005,2.12,3.34,1,92.125,53.99,62,1,80.0,39.63230954145912
155,ADP,428.03671,6.96,7.77,1,136.054,27.03,76,1,35.0,25.53372958931
156,ADP,428.03671,6.96,7.77,1,348.25,18.56,76,1,20.0,19.41173928377008
157,ADP,428.03671,6.96,7.77,1,119.042,55.0,76,1,80.0,43.89970050592976
158,ADP,428.03671,6.96,7.77,1,97.054,37.01,76,1,60.0,35.73704676520986
159,ADP,428.03671,6.96,7.77,1,232.125,27.96,76,1,40.0,27.57439302448997
163,Arginine,175.11898,11.5,12.2,1,116.125,15.15,55,0,20.0,12.663281032987802
164,Arginine,175.11898,11.5,12.2,1,70.137,23.24,55,0,40.0,20.825934773707697
165,Arginine,175.11898,11.5,12.2,1,60.083,15.61,55,0,20.0,12.663281032987802
166,ATP,508.00305,7.98,8.51,1,410.054,18.69,97,1,20.0,21.545435118213398
167,ATP,508.00305,7.98,8.51,1,136.25,33.26,97,1,50.0,33.78941572929323
168,ATP,508.00305,7.98,8.51,1,348.0540000000001,17.76,97,1,20.0,21.545435118213398
169,ATP,508.00305,7.98,8.51,1,428.054,21.26,97,1,20.0,21.545435118213398
