,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
0,Adenine,2.18,3.22,136.061776,1,119.03,50.0,8103957.102456
1,Adenine,2.18,3.22,136.061776,1,119.04,40.0,6099204.346215867
2,Adenine,2.18,3.22,136.061776,1,92.02,60.0,4759605.1763991825
3,Adenine,2.18,3.22,136.061776,1,65.01,80.0,3983451.9341258924
4,Adenine,2.18,3.22,136.061776,1,67.03,60.0,2308645.6692265756
5,Adenosine,2.12,3.34,268.10403199999996,1,136.06,30.0,25646092.4534073
6,Adenosine,2.12,3.34,268.10403199999996,1,119.03,80.0,2979971.2885498605
7,Adenosine,2.12,3.34,268.10403199999996,1,137.05,80.0,2110636.179568777
8,Adenosine,2.12,3.34,268.10403199999996,1,119.04,80.0,1980878.2199134259
9,Adenosine,2.12,3.34,268.10403199999996,1,94.04,80.0,1048538.4735629373
10,cAMP,1.78,3.57,330.0597957,1,136.06,40.0,5567093.43086657
11,cAMP,1.78,3.57,330.0597957,1,119.03,80.0,581714.4456064933
12,cAMP,1.78,3.57,330.0597957,1,137.05,80.0,407753.3363963838
13,cAMP,1.78,3.57,330.0597957,1,119.04,80.0,305319.2271043682
14,cAMP,1.78,3.57,330.0597957,1,94.04,80.0,252509.28385216836
15,Alanine,6.07,6.5,90.054956,1,72.08,20.0,20263.17594791859
16,Alanine,6.07,6.5,90.054956,1,70.06,25.0,2071.8451564270217
17,Alanine,6.07,6.5,90.054956,1,57.06,40.0,940.082382943677
18,Alanine,6.07,6.5,90.054956,1,70.07,35.0,776.0842349546585
19,Alanine,6.07,6.5,90.054956,1,55.29,10.0,516.6343295351336
20,Arginine,11.5,12.2,175.118956,1,70.06,40.0,1016529.9131385745
21,Arginine,11.5,12.2,175.118956,1,60.06,20.0,289238.1830882647
22,Arginine,11.5,12.2,175.118956,1,116.07,20.0,255444.0361786108
23,Arginine,11.5,12.2,175.118956,1,130.1,20.0,99517.00086842613
24,Arginine,11.5,12.2,175.118956,1,158.09,20.0,98292.61534629126
25,Asparagine,6.4,6.86,133.060766,1,74.02,30.0,87069.5934092972
26,Asparagine,6.4,6.86,133.060766,1,87.06,10.0,58085.1932132473
27,Asparagine,6.4,6.86,133.060766,1,87.05,20.0,26490.709885978176
28,Asparagine,6.4,6.86,133.060766,1,116.03,10.0,11409.90848510478
29,Asparagine,6.4,6.86,133.060766,1,88.04,10.0,7961.515611675962
30,cGMP,5.17,5.58,346.054706,1,152.06,30.0,2257024.7891473053
31,cGMP,5.17,5.58,346.054706,1,135.03,70.0,553136.1169033785
32,cGMP,5.17,5.58,346.054706,1,153.04,80.0,492692.1501484148
33,cGMP,5.17,5.58,346.054706,1,110.03,80.0,307089.86947774707
34,cGMP,5.17,5.58,346.054706,1,128.05,80.0,74353.74108724749
35,Cystine,6.95,7.43,241.03112599999997,1,151.98,20.0,393563.4158425573
36,Cystine,6.95,7.43,241.03112599999997,1,74.01,60.0,314041.99367688625
37,Cystine,6.95,7.43,241.03112599999997,1,120.01,30.0,311273.51595996093
38,Cystine,6.95,7.43,241.03112599999997,1,74.02,40.0,293811.24810868467
39,Cystine,6.95,7.43,241.03112599999997,1,122.03,25.0,160686.17922184276
40,Cytidine,4.5,4.98,244.092792,1,112.05,20.0,3683087.8799299444
