,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
77,GN6P,7.48,8.03,260.052976,1,84.04,40.0,15671.071214727443
78,GN6P,7.48,8.03,260.052976,1,224.03,10.0,15457.641650407413
79,GN6P,7.48,8.03,260.052976,1,144.07,20.0,14736.070893421698
80,Glutamine,6.37,6.72,147.076416,1,84.04,30.0,1684804.5677917404
81,Glutamine,6.37,6.72,147.076416,1,130.05,10.0,1279709.8965728693
82,Glutamine,6.37,6.72,147.076416,1,64.93,60.0,577151.6324955518
83,Glutamine,6.37,6.72,147.076416,1,56.05,60.0,472278.35534885374
84,Glutamine,6.37,6.72,147.076416,1,123.96,20.0,386696.73769500694
85,Guanosine,5.08,5.48,284.09894199999997,1,152.06,25.0,2334390.6875950773
86,Guanosine,5.08,5.48,284.09894199999997,1,153.04,60.0,626451.7770295631
87,Guanosine,5.08,5.48,284.09894199999997,1,135.03,70.0,544855.700804375
88,Guanosine,5.08,5.48,284.09894199999997,1,110.03,70.0,342776.18678406253
89,Guanosine,5.08,5.48,284.09894199999997,1,128.05,60.0,111821.07882235915
90,Histamine,11.17,15.53,112.0869233,1,95.06,25.0,2425329.426366392
91,Histamine,11.17,15.53,112.0869233,1,68.05,40.0,680538.4550350712
92,Histamine,11.17,15.53,112.0869233,1,83.06,30.0,221978.63930741508
93,Histamine,11.17,15.53,112.0869233,1,54.03,80.0,156862.24541336574
94,Histamine,11.17,15.53,112.0869233,1,81.04,70.0,99742.18777319422
95,Homocystine,7.06,7.53,269.06242599999996,1,136.04,10.0,254041.7074948911
96,Homocystine,7.06,7.53,269.06242599999996,1,88.02,60.0,183823.32716778206
97,Homocystine,7.06,7.53,269.06242599999996,1,90.04,40.0,120313.55927365391
98,Homocystine,7.06,7.53,269.06242599999996,1,134.03,20.0,100374.78079801294
99,Homocystine,7.06,7.53,269.06242599999996,1,56.05,60.0,34843.94915615785
100,Indole-3-acetate,1.32,2.4,176.0706045,1,130.06,30.0,100949.42678698013
101,Indole-3-acetate,1.32,2.4,176.0706045,1,95.05,80.0,29104.05996465646
102,Indole-3-acetate,1.32,2.4,176.0706045,1,103.05,60.0,27988.813640745004
103,Indole-3-acetate,1.32,2.4,176.0706045,1,105.04,80.0,9473.400994820006
104,Indole-3-acetate,1.32,2.4,176.0706045,1,131.07,35.0,7461.32558149607
105,N-Acetyl-MN,4.5,5.17,222.097216,1,138.05,20.0,61167.43488450086
106,N-Acetyl-MN,4.5,5.17,222.097216,1,126.05,20.0,56185.76749497728
107,N-Acetyl-MN,4.5,5.17,222.097216,1,204.09,10.0,54841.27442943009
108,N-Acetyl-MN,4.5,5.17,222.097216,1,84.04,40.0,40842.21540093388
109,N-Acetyl-MN,4.5,5.17,222.097216,1,186.08,10.0,33570.26795100165
110,NANA,5.17,5.65,310.113256,1,274.09,10.0,387614.5657021027
111,NANA,5.17,5.65,310.113256,1,292.1,10.0,191796.26989126182
112,NANA,5.17,5.65,310.113256,1,121.03,40.0,93347.36451965626
