,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
20,ADP,426.02210999999994,6.96,7.77,-1,273.04200000000003,23.79,103,1,35.0,25.479975176790056
21,ADP,426.02210999999994,6.96,7.77,-1,134.125,22.78,103,1,25.0,21.398648306430108
22,AKG,145.01422,6.84,7.28,-1,101.042,7.02,30,0,10.0,7.778686175010618
23,AKG,145.01422,6.84,7.28,-1,57.053999999999995,11.32,30,0,20.0,11.860013045370566
24,AKG,145.01422,6.84,7.28,-1,83.071,11.66,30,0,20.0,11.860013045370566
25,AKG,145.01422,6.84,7.28,-1,73.095,14.6,30,0,30.0,15.941339915730515
26,Asparagine,131.04619,6.4,6.86,-1,114.125,11.61,36,0,20.0,11.487312138634316
27,Asparagine,131.04619,6.4,6.86,-1,95.125,11.99,36,0,20.0,11.487312138634316
29,Aspartate,132.03021,6.45,6.95,-1,88.125,11.91,40,0,20.0,11.51356817805051
30,Aspartate,132.03021,6.45,6.95,-1,115.024,11.11,40,0,20.0,11.51356817805051
31,Aspartate,132.03021,6.45,6.95,-1,71.095,14.81,40,0,30.0,15.594895048410459
32,ATP,505.98845,7.98,8.51,-1,408.05400000000003,19.83,124,1,25.0,23.53234414087343
33,ATP,505.98845,7.98,8.51,-1,159.042,30.53,124,1,40.0,29.65433444641335
34,ATP,505.98845,7.98,8.51,-1,426.07099999999997,24.97,124,1,30.0,25.573007576053403
35,ATP,505.98845,7.98,8.51,-1,273.04200000000003,28.25,124,1,40.0,29.65433444641335
36,ATP,505.98845,7.98,8.51,-1,176.958,22.9,124,1,30.0,25.573007576053403
37,Chelidamate,182.0095,6.46,6.95,-1,138.125,11.66,43,0,20.0,12.84713681307163
38,Chelidamate,182.0095,6.46,6.95,-1,93.845,17.59,43,0,30.0,16.928463683431577
39,Chelidamate,182.0095,6.46,6.95,-1,66.196,27.41,43,0,60.0,29.172444294511422
40,Chelidamate,182.0095,6.46,6.95,-1,68.054,28.55,43,0,60.0,29.172444294511422
42,cis-Aconitate,173.00914,8.05,9.74,-1,84.786,11.7,30,0,20.0,12.60698538635271
43,cis-Aconitate,173.00914,8.05,9.74,-1,128.911,7.86,30,0,10.0,8.525658515992761
44,cis-Aconitate,173.00914,8.05,9.74,-1,111.042,7.27,30,0,10.0,8.525658515992761
46,Citrate,191.0197,8.85,9.32,-1,87.042,16.79,43,1,25.0,15.1282142300282
47,Citrate,191.0197,8.85,9.32,-1,85.196,15.61,43,1,25.0,15.1282142300282
48,Citrate,191.0197,8.85,9.32,-1,111.054,12.08,43,1,20.0,13.087550794848227
49,CMP-sialic-acid,613.1399675,7.0,7.4,-1,321.732,19.45,82,0,20.0,24.350742987949097
50,CMP-sialic-acid,613.1399675,7.0,7.4,-1,97.042,39.12,82,0,50.0,36.59472359902894
51,CMP-sialic-acid,613.1399675,7.0,7.4,-1,78.97,54.24,82,0,80.0,48.83870421010879
52,CMP-sialic-acid,613.1399675,7.0,7.4,-1,569.065,18.44,82,0,20.0,24.350742987949097
53,CMP-sialic-acid,613.1399675,7.0,7.4,-1,211.167,35.03,82,0,35.0,30.472733293489018
54,cGMP,344.04013,5.17,5.58,-1,150.125,22.9,97,0,35.0,23.292497180105258
55,cGMP,344.04013,5.17,5.58,-1,133.113,34.53,97,0,60.0,33.49581435600513
56,cGMP,344.04013,5.17,5.58,-1,79.042,31.83,97,0,80.0,41.658468096725024
57,DHAP,168.9907,6.65,7.23,-1,97.042,8.33,31,0,10.0,8.418436793841162
58,DHAP,168.9907,6.65,7.23,-1,78.905,28.42,31,0,60.0,28.8250711456409
59,FBP,338.98875,8.9,9.33,-1,241.125,13.38,72,0,20.0,17.03572380878803
60,FBP,338.98875,8.9,9.33,-1,96.988,19.57,72,0,30.0,21.11705067914798
61,FBP,338.98875,8.9,9.33,-1,79.113,38.82,72,0,80.0,41.52368503094772
62,FBP,338.98875,8.9,9.33,-1,176.958,17.43,72,0,20.0,17.03572380878803
63,FBP,338.98875,8.9,9.33,-1,158.958,27.16,72,0,40.0,25.198377549507928
64,F6P,259.02242,7.21,8.25,-1,97.024,13.85,54,0,20.0,14.90202824116896
65,F6P,259.02242,7.21,8.25,-1,79.02,37.52,54,0,80.0,39.38998946332865
66,F6P,259.02242,7.21,8.25,-1,169.095,10.52,54,0,10.0,10.820701370809012
67,G1P,259.02242,7.31,8.17,-1,241.125,11.32,61,0,20.0,14.90202824116896
68,G1P,259.02242,7.31,8.17,-1,78.97,25.98,61,0,80.0,39.38998946332865
69,G1P,259.02242,7.31,8.17,-1,97.113,13.89,61,0,20.0,14.90202824116896
70,G1P,259.02242,7.31,8.17,-1,139.042,15.19,61,0,20.0,14.90202824116896
71,G1P,259.02242,7.31,8.17,-1,169.03,12.03,61,0,10.0,10.820701370809012
72,GN6P,258.0384,7.48,8.03,-1,96.97,17.01,55,0,30.0,18.95709907211271
73,GN6P,258.0384,7.48,8.03,-1,199.071,10.05,55,0,10.0,10.794445331392817
74,GN6P,258.0384,7.48,8.03,-1,240.196,10.1,55,0,10.0,10.794445331392817
75,GN6P,258.0384,7.48,8.03,-1,79.042,37.65,55,0,80.0,39.36373342391245
76,GN6P,258.0384,7.48,8.03,-1,139.042,18.86,55,0,30.0,18.95709907211271
77,G6P,259.02242,7.28,8.25,-1,97.042,14.98,54,1,20.0,14.90202824116896
78,G6P,259.02242,7.28,8.25,-1,199.071,9.84,54,1,10.0,10.820701370809012
79,G6P,259.02242,7.28,8.25,-1,79.042,35.67,54,1,80.0,39.38998946332865
80,G6P,259.02242,7.28,8.25,-1,169.042,9.89,54,1,10.0,10.820701370809012
81,G6P,259.02242,7.28,8.25,-1,139.042,14.1,54,1,20.0,14.90202824116896
82,G3P,168.9907245,6.8,7.81,-1,96.97,6.85,36,0,10.0,8.418437447560562
83,G3P,168.9907245,6.8,7.81,-1,78.863,26.82,36,0,60.0,28.825071799360302
84,G3P,168.9907245,6.8,7.81,-1,151.095,6.81,36,0,10.0,8.418437447560562
85,G3P,168.9907245,6.8,7.81,-1,139.071,9.04,36,0,35.0,18.621754623460433
87,Hydroxyglutarate,147.0298734,6.75,7.16,-1,129.054,10.1,41,0,10.0,7.832468694796587
88,Hydroxyglutarate,147.0298734,6.75,7.16,-1,100.845,13.8,41,0,25.0,13.95445900033651
89,Hydroxyglutarate,147.0298734,6.75,7.16,-1,85.167,14.44,41,0,25.0,13.95445900033651
90,Hydroxyglutarate,147.0298734,6.75,7.16,-1,103.054,13.51,41,0,20.0,11.913795565156535
91,Hydroxyglutarate,147.0298734,6.75,7.16,-1,56.857,18.1,41,0,35.0,18.035785870696458
92,Isocitrate,191.0197,8.48,9.76,-1,173.071,9.25,42,0,10.0,9.006223924488278
93,Isocitrate,191.0197,8.48,9.76,-1,155.196,12.5,42,0,20.0,13.087550794848227
94,Isocitrate,191.0197,8.48,9.76,-1,73.125,20.37,42,0,40.0,21.250204535568123
97,Lactate,89.0244,1.49,2.51,-1,71.083,9.3,33,1,20.0,10.366068897054772
99,Lactate,89.0244,1.49,2.51,-1,87.054,8.29,33,1,20.0,10.366068897054772
100,Malate,133.01422,7.19,7.76,-1,115.054,10.81,36,0,20.0,11.539823950642461
101,Malate,133.01422,7.19,7.76,-1,73.054,15.87,36,0,30.0,15.62115082100241
102,Malate,133.01422,7.19,7.76,-1,71.125,14.69,36,0,30.0,15.62115082100241
103,Mannitol,181.0717364,5.56,5.97,-1,89.054,14.18,39,0,20.0,12.822115006558882
104,Mannitol,181.0717364,5.56,5.97,-1,101.185,14.56,39,0,20.0,12.822115006558882
105,Mannitol,181.0717364,5.56,5.97,-1,119.196,11.87,39,0,10.0,8.740788136198933
106,Mannitol,181.0717364,5.56,5.97,-1,71.125,19.95,39,0,30.0,16.90344187691883
107,Mannitol,181.0717364,5.56,5.97,-1,163.113,10.86,39,0,10.0,8.740788136198933
110,Oxamate,88.00399999999999,4.07,4.54,-1,60.155,5.25,30,0,10.0,6.25751528067311
111,PEP,166.97507439999998,8.44,8.78,-1,78.97,12.58,30,0,20.0,12.445981886186543
112,PEP,166.97507439999998,8.44,8.78,-1,139.042,5.25,30,0,70.0,32.85261623798628
113,PEP,166.97507439999998,8.44,8.78,-1,63.03,55.0,30,0,80.0,36.93394310834623
115,Pyruvate,87.00874,6.47,8.31,-1,78.702,12.29,32,0,25.0,12.352949636344775
116,Pyruvate,87.00874,6.47,8.31,-1,77.101,17.89,32,0,40.0,18.474939941884696
118,Pyruvate,87.00874,6.47,8.31,-1,59.113,5.25,32,0,70.0,30.71892055296454
119,R5P,229.0118538,7.05,7.54,-1,96.988,11.87,44,0,20.0,14.101273572514305
120,R5P,229.0118538,7.05,7.54,-1,79.042,32.72,44,0,80.0,38.58923479467399
121,Selenomethionine,195.98819640000002,4.22,4.73,-1,94.917,10.43,30,0,20.0,13.220122325221215
122,Selenomethionine,195.98819640000002,4.22,4.73,-1,79.708,44.64,30,0,80.0,37.7080835473809
123,Selenomethionine,195.98819640000002,4.22,4.73,-1,100.042,7.78,30,0,80.0,37.7080835473809
124,Succinate,117.01931,6.59,7.01,-1,73.125,11.36,32,0,20.0,11.11304097121267
125,Succinate,117.01931,6.59,7.01,-1,55.125,15.36,32,0,30.0,15.194367841572618
126,Succinate,117.01931,6.59,7.01,-1,99.071,10.22,32,0,20.0,11.11304097121267
132,Trehalose,341.10892,6.96,7.35,-1,89.125,19.36,64,0,25.0,19.132958520048813
133,Trehalose,341.10892,6.96,7.35,-1,179.113,13.42,64,0,20.0,17.09229508486884
135,Uridine,243.06224,2.81,3.67,-1,200.196,10.56,43,0,10.0,10.39484507198421
136,Uridine,243.06224,2.81,3.67,-1,152.185,13.05,43,0,20.0,14.476171942344159
137,Uridine,243.06224,2.81,3.67,-1,111.054,9.04,43,0,10.0,10.39484507198421
138,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,385.07099999999997,26.23,176,0,30.0,28.24353990445553
139,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,282.17900000000003,30.53,176,0,30.0,28.24353990445553
140,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,403.07099999999997,24.92,176,0,25.0,26.202876469275555
141,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,273.04200000000003,34.02,176,0,35.0,30.284203339635503
142,UDP-N-acetyl-GN,606.0742695,6.9,7.34,-1,362.07099999999997,25.35,176,0,30.0,28.24353990445553
143,Acetoacetyl-CoA,852.14364,6.1,6.57,1,345.101,31.79,120,0,25.0,32.76860388433469
144,Acetoacetyl-CoA,852.14364,6.1,6.57,1,428.19599999999997,28.97,120,0,20.0,30.727940449154715
145,Acetoacetyl-CoA,852.14364,6.1,6.57,1,261.20799999999997,41.82,120,0,35.0,36.84993075469464
146,Acetoacetyl-CoA,852.14364,6.1,6.57,1,243.065,31.41,120,0,20.0,30.727940449154715
147,Acetyl-CoA,810.13307,6.02,6.43,1,303.101,31.58,125,1,30.0,33.688323454738686
148,Acetyl-CoA,810.13307,6.02,6.43,1,428.19599999999997,26.9,125,1,20.0,29.60699658437874
149,Acetyl-CoA,810.13307,6.02,6.43,1,410.125,24.25,125,1,20.0,29.60699658437874
150,Acetyl-CoA,810.13307,6.02,6.43,1,136.125,48.09,125,1,40.0,37.76965032509864
151,Acetyl-CoA,810.13307,6.02,6.43,1,401.208,22.61,125,1,20.0,29.60699658437874
152,Adenosine,268.10405640000005,2.12,3.34,1,136.125,19.57,62,1,30.0,19.22567518965939
153,Adenosine,268.10405640000005,2.12,3.34,1,119.054,47.38,62,1,80.0,39.63230954145913
154,Adenosine,268.10405640000005,2.12,3.34,1,92.125,53.99,62,1,80.0,39.63230954145913
155,ADP,428.03670999999997,6.96,7.77,1,136.054,27.03,76,1,35.0,25.533729589309996
156,ADP,428.03670999999997,6.96,7.77,1,348.25,18.56,76,1,20.0,19.41173928377007
157,ADP,428.03670999999997,6.96,7.77,1,119.042,55.0,76,1,80.0,43.899700505929765
158,ADP,428.03670999999997,6.96,7.77,1,97.054,37.01,76,1,60.0,35.73704676520987
159,ADP,428.03670999999997,6.96,7.77,1,232.125,27.96,76,1,40.0,27.574393024489968
163,Arginine,175.11898,11.5,12.2,1,116.125,15.15,55,0,20.0,12.663281032987804
164,Arginine,175.11898,11.5,12.2,1,70.137,23.24,55,0,40.0,20.8259347737077
165,Arginine,175.11898,11.5,12.2,1,60.083,15.61,55,0,20.0,12.663281032987804
