,Unnamed: 0,Unnamed: 0.1,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity,Ion type
84,84,534,Compound 535,358.2071838,1.5178837530000002,1.8235360569999999,1,133.09,17.548518218830864,8749.323817233284,Qual 4
85,85,535,Compound 536,328.3575439,1.6897512280000002,1.895612455,1,310.35,12.670730583675844,18771.437197048177,Quant
86,86,535,Compound 536,328.3575439,1.6897512280000002,1.895612455,1,173.48,41.240018676195476,11119.99164332627,Qual 1
87,87,535,Compound 536,328.3575439,1.6897512280000002,1.895612455,1,173.47,33.077364935475586,10775.361794176331,Qual 2
88,88,535,Compound 536,328.3575439,1.6897512280000002,1.895612455,1,173.46,28.996038065115638,6286.149351564843,Qual 3
89,89,535,Compound 536,328.3575439,1.6897512280000002,1.895612455,1,69.07,20.833384324395734,5412.578270965269,Qual 4
90,90,25,Compound 26,144.1020966,3.390057826,3.940524458,1,58.07,24.07965599263988,1181936.5144833843,Quant
91,91,25,Compound 26,144.1020966,3.390057826,3.940524458,1,84.08,19.998329122279934,622710.8941615827,Qual 1
92,92,25,Compound 26,144.1020966,3.390057826,3.940524458,1,98.1,19.998329122279934,173739.1873176356,Qual 2
93,93,25,Compound 26,144.1020966,3.390057826,3.940524458,1,56.05,36.32363660371973,95628.20708796618,Qual 3
94,94,25,Compound 26,144.1020966,3.390057826,3.940524458,1,58.06,15.917002251919987,90440.80517535987,Qual 4
95,95,536,Compound 537,261.1444702,4.698799403,4.929193932,1,86.1,19.03997655590437,15194.88801843086,Quant
96,96,536,Compound 537,261.1444702,4.698799403,4.929193932,1,84.04,27.20263029662427,12648.147255126109,Qual 1
97,97,536,Compound 537,261.1444702,4.698799403,4.929193932,1,132.1,14.958649685544426,12008.3150949235,Qual 2
98,98,536,Compound 537,261.1444702,4.698799403,4.929193932,1,173.47,21.080639991084347,3911.465626351131,Qual 3
99,99,536,Compound 537,261.1444702,4.698799403,4.929193932,1,198.11,16.999313120724402,3273.828709547089,Qual 4
100,100,27,Compound 28,137.045929,3.084918347,3.6750794819999997,1,110.03,19.810053462605453,587488.9597184539,Quant
101,101,27,Compound 28,137.045929,3.084918347,3.6750794819999997,1,55.03,27.972707203325353,563821.2170009475,Qual 1
102,102,27,Compound 28,137.045929,3.084918347,3.6750794819999997,1,119.04,19.810053462605453,484078.78382597,Qual 2
103,103,27,Compound 28,137.045929,3.084918347,3.6750794819999997,1,94.04,19.810053462605453,269302.5888331281,Qual 3
104,104,27,Compound 28,137.045929,3.084918347,3.6750794819999997,1,82.04,23.891380332965397,222592.6434843836,Qual 4
105,105,28,Compound 29,204.1228943,3.863501789,4.302638121,1,85.03,17.518502658621795,6041228.691433448,Quant
106,106,28,Compound 29,204.1228943,3.863501789,4.302638121,1,60.08,13.43717578826185,834183.4280189772,Qual 1
107,107,28,Compound 29,204.1228943,3.863501789,4.302638121,1,145.05,13.43717578826185,810982.1637493719,Qual 2
108,108,28,Compound 29,204.1228943,3.863501789,4.302638121,1,57.03,33.843810140061585,300393.1945301345,Qual 3
109,109,28,Compound 29,204.1228943,3.863501789,4.302638121,1,58.07,37.92513701042154,215873.1010687729,Qual 4
110,110,29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1,58.07,31.54814407986433,7450952.2258140175,Quant
111,111,29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1,59.07,19.304163468784484,3190224.7328185537,Qual 1
112,112,29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1,100.11,11.141509728064593,600818.8388825569,Qual 2
113,113,29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1,85.09,19.304163468784484,236360.946658654,Qual 3
114,114,29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1,70.07,23.38549033914443,216994.7320696518,Qual 4
115,115,537,Compound 538,302.0709534,5.776003651,6.124913677,1,173.47,40.53862870822185,6450.495269086758,Quant
116,116,537,Compound 538,302.0709534,5.776003651,6.124913677,1,173.48,32.37597496750197,4302.21393592794,Qual 1
117,117,537,Compound 538,302.0709534,5.776003651,6.124913677,1,173.46,24.213321226782067,3766.2994669538903,Qual 2
120,120,31,Compound 32,130.0500183,6.3503799710000015,6.83774308,1,84.04,13.50139529757956,3124768.1761302045,Quant
121,121,31,Compound 32,130.0500183,6.3503799710000015,6.83774308,1,56.05,23.70471247347943,765022.9668384141,Qual 1
122,122,31,Compound 32,130.0500183,6.3503799710000015,6.83774308,1,84.06,15.542058732759536,231002.953410758,Qual 2
123,123,31,Compound 32,130.0500183,6.3503799710000015,6.83774308,1,85.03,13.50139529757956,144683.46465252552,Qual 3
124,124,31,Compound 32,130.0500183,6.3503799710000015,6.83774308,1,84.05,13.50139529757956,93679.37567847267,Qual 4
125,125,539,Compound 540,693.1879882999997,6.4945126260000015,6.6737406020000005,1,173.47,22.40529139381652,25631.387246389462,Quant
126,126,539,Compound 540,693.1879882999997,6.4945126260000015,6.6737406020000005,1,331.05,28.52728169935644,24656.61007985333,Qual 1
127,127,539,Compound 540,693.1879882999997,6.4945126260000015,6.6737406020000005,1,547.12,22.40529139381652,23009.536612067564,Qual 2
128,128,539,Compound 540,693.1879882999997,6.4945126260000015,6.6737406020000005,1,173.46,34.64927200489636,20877.565186639167,Qual 3
129,129,539,Compound 540,693.1879882999997,6.4945126260000015,6.6737406020000005,1,173.48,28.52728169935644,20402.820158870072,Qual 4
130,130,33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1,186.19,18.32120408764537,255853.2345898565,Quant
131,131,33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1,88.08,26.483857828365263,214552.0039274401,Qual 1
132,132,33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1,107.07,34.646511569085156,95211.06835055737,Qual 2
133,133,33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1,106.06,38.72783843944511,54165.79911644472,Qual 3
134,134,33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1,56.05,22.40253095800532,50227.66044412544,Qual 4
135,135,34,Compound 35,166.08633419999995,3.4955388739999997,3.931864305,1,120.08,14.462931578025975,2992952.8952200287,Quant
136,136,34,Compound 35,166.08633419999995,3.4955388739999997,3.931864305,1,103.05,24.666248753925853,1421075.611651676,Qual 1
137,137,34,Compound 35,166.08633419999995,3.4955388739999997,3.931864305,1,95.05,36.91022936500569,838292.3204104713,Qual 2
138,138,34,Compound 35,166.08633419999995,3.4955388739999997,3.931864305,1,77.04,36.91022936500569,549046.4455794576,Qual 3
139,139,34,Compound 35,166.08633419999995,3.4955388739999997,3.931864305,1,91.05,32.82890249464574,315625.9397565368,Qual 4
140,140,35,Compound 36,132.1018677,3.958863032,4.384469005,1,86.1,11.515480179224953,2162279.149902253,Quant
141,141,35,Compound 36,132.1018677,3.958863032,4.384469005,1,114.13,11.515480179224953,71980.46312333844,Qual 1
142,142,35,Compound 36,132.1018677,3.958863032,4.384469005,1,69.07,17.637470484764872,67037.80038584434,Qual 2
143,143,35,Compound 36,132.1018677,3.958863032,4.384469005,1,86.11,11.515480179224953,53311.305124034756,Qual 3
144,144,35,Compound 36,132.1018677,3.958863032,4.384469005,1,85.09,19.678133919944848,26833.177315916266,Qual 4
145,145,540,Compound 541,98.09650421,3.707737215,4.086340901,1,70.06,16.730124938784602,3036.984541008177,Quant
146,146,540,Compound 541,98.09650421,3.707737215,4.086340901,1,70.07,18.770788373964574,2592.397358535501,Qual 1
150,150,37,Compound 38,258.10992430000005,6.135924055,6.406440604,1,104.11,18.95900751385172,919932.2607490177,Quant
151,151,37,Compound 38,258.10992430000005,6.135924055,6.406440604,1,98.98,39.365641865651455,300791.2332262825,Qual 1
152,152,37,Compound 38,258.10992430000005,6.135924055,6.406440604,1,86.1,27.12166125457161,279043.34157959506,Qual 2
153,153,37,Compound 38,258.10992430000005,6.135924055,6.406440604,1,125.0,27.12166125457161,279011.3424234304,Qual 3
154,154,37,Compound 38,258.10992430000005,6.135924055,6.406440604,1,71.07,39.365641865651455,184063.56448608547,Qual 4
155,155,38,Compound 39,129.0660858,6.262931919,6.590934971,1,83.06,13.475141592875511,1571232.0925616687,Quant
156,156,38,Compound 39,129.0660858,6.262931919,6.590934971,1,56.05,27.759785639135327,539327.9161996011,Qual 1
157,157,38,Compound 39,129.0660858,6.262931919,6.590934971,1,83.07,17.556468463235458,57813.56262844883,Qual 2
158,158,38,Compound 39,129.0660858,6.262931919,6.590934971,1,54.03,35.92243937985523,50883.819840951866,Qual 3
159,159,38,Compound 39,129.0660858,6.262931919,6.590934971,1,66.03,31.84111250949527,36370.09262330247,Qual 4
160,160,39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1,103.05,17.316721976996398,646600.3519509571,Quant
161,161,39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1,95.05,23.438712282536322,392982.34870718257,Qual 1
162,162,39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1,51.02,35.682692893616164,295853.36100926914,Qual 2
163,163,39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1,77.04,27.52003915289627,200563.713308495,Qual 3
164,164,39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1,91.05,23.438712282536322,172105.30547898982,Qual 4
165,165,544,Compound 545,354.012085,7.168400202999999,7.393827002999999,1,310.02,13.355255941215338,11958.848037097488,Quant
166,166,544,Compound 545,354.012085,7.168400202999999,7.393827002999999,1,251.01,19.47724624675526,9903.89390640024,Qual 1
167,167,544,Compound 545,354.012085,7.168400202999999,7.393827002999999,1,173.46,21.517909681935233,9224.303698081876,Qual 2
168,168,544,Compound 545,354.012085,7.168400202999999,7.393827002999999,1,173.48,25.599236552295178,7653.307949410752,Qual 3
169,169,544,Compound 545,354.012085,7.168400202999999,7.393827002999999,1,173.47,19.47724624675526,6651.088602673577,Qual 4
170,170,41,Compound 42,127.1230392,6.4495966,6.853849294,1,58.07,15.46395983373311,961377.7705721048,Quant
171,171,41,Compound 42,127.1230392,6.4495966,6.853849294,1,82.06,23.626613574453007,202126.83782953033,Qual 1
172,172,41,Compound 42,127.1230392,6.4495966,6.853849294,1,58.06,17.504623268913086,173848.26111673214,Qual 2
173,173,41,Compound 42,127.1230392,6.4495966,6.853849294,1,82.07,19.54528670409305,152292.73045104992,Qual 3
174,174,41,Compound 42,127.1230392,6.4495966,6.853849294,1,56.05,35.87059418553285,113329.18738134678,Qual 4
175,175,547,Compound 548,468.30834960000004,1.6880215459999999,1.860337814,1,184.07,24.567611139691728,16598.234030680043,Quant
176,176,547,Compound 548,468.30834960000004,1.6880215459999999,1.860337814,1,104.11,24.567611139691728,8001.613479413579,Qual 1
177,177,547,Compound 548,468.30834960000004,1.6880215459999999,1.860337814,1,173.47,32.730264880411625,5767.182376568348,Qual 2
178,178,547,Compound 548,468.30834960000004,1.6880215459999999,1.860337814,1,86.1,44.97424549149147,5762.057458998362,Qual 3
179,179,547,Compound 548,468.30834960000004,1.6880215459999999,1.860337814,1,125.0,40.89291862113153,4317.004845460314,Qual 4
180,180,549,Compound 550,151.0615082,2.219518332,2.613632566,1,110.03,20.18402309728362,5077.202306529541,Quant
181,181,549,Compound 550,151.0615082,2.219518332,2.613632566,1,82.04,28.34667683800352,2165.761113780908,Qual 1
182,182,549,Compound 550,151.0615082,2.219518332,2.613632566,1,55.03,28.34667683800352,2082.8551861597557,Qual 2
185,185,44,Compound 45,246.2427063,1.569101679,1.935367436,1,88.08,22.723688235181577,331025.28626917745,Quant
186,186,44,Compound 45,246.2427063,1.569101679,1.935367436,1,70.06,26.80501510554152,270778.9181334141,Qual 1
187,187,44,Compound 45,246.2427063,1.569101679,1.935367436,1,106.09,20.6830248000016,196617.99969607525,Qual 2
188,188,44,Compound 45,246.2427063,1.569101679,1.935367436,1,57.07,26.80501510554152,165470.6724084795,Qual 3
189,189,44,Compound 45,246.2427063,1.569101679,1.935367436,1,228.23,18.642361364821628,157423.78610654257,Qual 4
190,190,45,Compound 46,234.9178619,13.1267477,13.63512273,1,128.95,14.258860188097293,2456200.0492048967,Quant
191,191,45,Compound 46,234.9178619,13.1267477,13.63512273,1,62.98,30.584167669537088,284951.09337542165,Qual 1
192,192,45,Compound 46,234.9178619,13.1267477,13.63512273,1,61.97,38.74682141025698,122839.89108228985,Qual 2
193,193,45,Compound 46,234.9178619,13.1267477,13.63512273,1,128.96,14.258860188097293,31759.082925096227,Qual 3
194,194,45,Compound 46,234.9178619,13.1267477,13.63512273,1,128.98,16.299523623277267,22200.249043146694,Qual 4
195,195,46,Compound 47,120.06565859999999,5.894831161,6.290644952,1,74.06,11.194324937917688,490212.97913940006,Quant
196,196,46,Compound 47,120.06565859999999,5.894831161,6.290644952,1,56.05,17.31631524345761,450534.272712819,Qual 1
197,197,46,Compound 47,120.06565859999999,5.894831161,6.290644952,1,102.05,7.11299806755774,227186.29647267214,Qual 2
198,198,46,Compound 47,120.06565859999999,5.894831161,6.290644952,1,57.03,19.356978678637578,41185.408478355734,Qual 3
199,199,46,Compound 47,120.06565859999999,5.894831161,6.290644952,1,84.04,11.194324937917688,20120.28288994771,Qual 4
200,200,47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1,188.07,9.381842866534607,1155191.1465903241,Quant
201,201,47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1,146.06,17.5444966072545,722644.1205721439,Qual 1
202,202,47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1,118.07,25.7071503479744,554092.5871141729,Qual 2
203,203,47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1,118.06,21.62582347761445,358781.1891802397,Qual 3
204,204,47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1,91.05,37.95113095905424,303518.7728437638,Qual 4
205,205,48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1,94.06,18.54523192462711,1656847.724632575,Quant
