,Unnamed: 0,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity
2836,840,Compound 795,111.0199738,2.937327867,3.595777416,-1,70.63,17.074954441181962,864.6375465146147
2837,840,Compound 795,111.0199738,2.937327867,3.595777416,-1,55.69,15.034291006001988,851.3563812219414
2838,842,Compound 797,310.8775024,13.36812922,13.66477777,-1,188.94,18.326311000574538,49873.20281060715
2839,842,Compound 797,310.8775024,13.36812922,13.66477777,-1,59.98,40.77360878755425,33595.02105629072
2840,842,Compound 797,310.8775024,13.36812922,13.66477777,-1,204.91,18.326311000574538,26720.946381219514
2841,842,Compound 797,310.8775024,13.36812922,13.66477777,-1,206.95,20.366974435754514,16908.40544626459
2842,842,Compound 797,310.8775024,13.36812922,13.66477777,-1,173.48,40.77360878755425,6487.401696095659
2843,845,Compound 800,149.045517,5.161041932,5.3845304810000005,-1,59.01,11.967577823454743,16326.001736947379
2844,845,Compound 800,149.045517,5.161041932,5.3845304810000005,-1,101.02,7.886250953094795,5680.604513744929
2845,845,Compound 800,149.045517,5.161041932,5.3845304810000005,-1,73.03,11.967577823454743,2910.999670995179
2846,845,Compound 800,149.045517,5.161041932,5.3845304810000005,-1,57.03,18.089568128994664,2526.6872901204897
2847,845,Compound 800,149.045517,5.161041932,5.3845304810000005,-1,83.01,7.886250953094795,2052.146372675208
2848,847,Compound 802,199.9693451,6.822775977,7.313806007,-1,80.96,19.448339330613717,32694.492468301098
2849,847,Compound 802,199.9693451,6.822775977,7.313806007,-1,136.01,9.245022154713848,26259.27333639245
2850,847,Compound 802,199.9693451,6.822775977,7.313806007,-1,74.01,19.448339330613717,18836.328735846477
2851,847,Compound 802,199.9693451,6.822775977,7.313806007,-1,120.01,15.36701246025377,9860.05473948786
2852,847,Compound 802,199.9693451,6.822775977,7.313806007,-1,112.94,21.48900276579369,7415.857484110246
2853,848,Compound 803,96.96957397,4.390584677,5.775499926,-1,78.96,10.578065402130738,29667.960265708916
2854,848,Compound 803,96.96957397,4.390584677,5.775499926,-1,78.97,14.659392272490686,9324.029451246723
2855,848,Compound 803,96.96957397,4.390584677,5.775499926,-1,62.96,35.06602662429042,2509.0620042940263
2856,848,Compound 803,96.96957397,4.390584677,5.775499926,-1,75.43,22.82204601321058,1115.3173026411753
2857,848,Compound 803,96.96957397,4.390584677,5.775499926,-1,76.94,16.70005570767066,1102.247012420683
2858,849,Compound 804,239.0593719,4.673578551,5.045751927,-1,173.49,30.694673197679364,6712.656164957627
2859,849,Compound 804,239.0593719,4.673578551,5.045751927,-1,173.48,34.776000068039316,6521.862081959047
2860,849,Compound 804,239.0593719,4.673578551,5.045751927,-1,173.47,18.450692586599523,1766.4377863127168
2861,849,Compound 804,239.0593719,4.673578551,5.045751927,-1,221.12,10.288038845879626,949.7963120524091
2862,849,Compound 804,239.0593719,4.673578551,5.045751927,-1,54.99,26.613346327319416,879.9553849064594
2863,850,Compound 805,187.0378418,4.883557239,5.227484207,-1,125.1,15.021968598995395,12626.297064220314
2864,850,Compound 805,187.0378418,4.883557239,5.227484207,-1,107.05,15.021968598995395,6666.000241058735
2865,850,Compound 805,187.0378418,4.883557239,5.227484207,-1,97.07,17.062632034175365,2045.4128544989621
2866,850,Compound 805,187.0378418,4.883557239,5.227484207,-1,143.07,8.899978293455472,1912.3605902024897
2867,850,Compound 805,187.0378418,4.883557239,5.227484207,-1,81.07,15.021968598995395,1809.3096723423675
2868,851,Compound 806,138.94146730000003,13.32343658,13.84050381,-1,57.0,11.697977279577179,6444.913550446002
2869,851,Compound 806,138.94146730000003,13.32343658,13.84050381,-1,59.98,23.941957890657022,6395.130635458858
2870,851,Compound 806,138.94146730000003,13.32343658,13.84050381,-1,59.99,28.02328476101697,4846.909944424476
2871,851,Compound 806,138.94146730000003,13.32343658,13.84050381,-1,91.7,13.738640714757153,2332.642972514491
2872,851,Compound 806,138.94146730000003,13.32343658,13.84050381,-1,123.86,28.02328476101697,2275.791959962903
2873,852,Compound 807,165.0406189,5.165195983,5.380012807999999,-1,75.01,16.475692793601755,18520.890361988804
2874,852,Compound 807,165.0406189,5.165195983,5.380012807999999,-1,59.01,18.51635622878173,4555.634021000655
2875,852,Compound 807,165.0406189,5.165195983,5.380012807999999,-1,147.03,8.31303905288186,2295.427959398461
2876,852,Compound 807,165.0406189,5.165195983,5.380012807999999,-1,129.02,12.394365923241809,1472.790720347299
2877,852,Compound 807,165.0406189,5.165195983,5.380012807999999,-1,57.03,14.435029358421783,1173.4081502637803
2878,854,Compound 808,131.08255,6.908975376,7.284115399,-1,57.22,7.406955441231394,2145.9299829716624
2879,854,Compound 808,131.08255,6.908975376,7.284115399,-1,103.13,19.650936052311238,1208.667138903519
2880,854,Compound 808,131.08255,6.908975376,7.284115399,-1,71.99,13.528945746771315,1196.3521491840363
2881,854,Compound 808,131.08255,6.908975376,7.284115399,-1,59.87,23.732262922671183,1184.8354073905402
2882,854,Compound 808,131.08255,6.908975376,7.284115399,-1,63.27,17.610272617131262,1178.6710202802608
2883,855,Compound 809,117.01931,6.87915097,7.1478061870000005,-1,73.03,11.11304097121267,25894.276046300733
2884,855,Compound 809,117.01931,6.87915097,7.1478061870000005,-1,99.93,19.275694711932562,5428.820170472923
2885,855,Compound 809,117.01931,6.87915097,7.1478061870000005,-1,99.01,11.11304097121267,2354.4208164424704
2886,855,Compound 809,117.01931,6.87915097,7.1478061870000005,-1,75.91,31.519675323012407,951.9350962318186
2887,855,Compound 809,117.01931,6.87915097,7.1478061870000005,-1,73.02,11.11304097121267,923.2451565757943
