,Name,Product mz,Charge,QqQ Optimized CE,HRMS Optimized CE (converted),HRMS Optimized CE (unconverted)
125,Uridine,200.196,-1,10.56,8.101793892112639,10.0
126,Uridine,152.185,-1,13.05,13.235984263361829,20.0
128,UDP-N-acetyl-GN,385.07099999999997,-1,26.23,28.15134698809264,30.0
129,UDP-N-acetyl-GN,282.17900000000003,-1,30.53,28.15134698809264,30.0
131,UDP-N-acetyl-GN,273.04200000000003,-1,34.02,30.718442173717232,35.0
133,Acetoacetyl-CoA,345.101,1,31.79,32.21446437996397,25.0
134,Acetoacetyl-CoA,428.19599999999997,1,28.97,29.64736919433938,20.0
135,Acetoacetyl-CoA,261.20799999999997,1,41.82,37.348654751213154,35.0
136,Acetoacetyl-CoA,243.065,1,31.41,29.64736919433938,20.0
137,Acetyl-CoA,303.101,1,31.58,33.64960637273162,30.0
138,Acetyl-CoA,428.19599999999997,1,26.9,28.51541600148243,20.0
140,Acetyl-CoA,136.125,1,48.09,38.783796743980815,40.0
142,Adenosine,136.125,1,19.57,19.044913492686913,30.0
143,Adenosine,119.054,1,47.38,44.71586534893286,80.0
145,ADP,136.054,1,27.03,25.921311739055596,35.0
146,ADP,348.25,1,18.56,18.220026182181808,20.0
147,ADP,119.042,1,55.0,49.02516840967694,80.0
148,ADP,97.054,1,37.01,38.756787667178564,60.0
150,Arginine,116.125,1,15.15,11.405288081660187,20.0
151,Arginine,70.137,1,23.24,21.673668824158568,40.0
152,Arginine,60.083,1,15.61,11.405288081660187,20.0
153,ATP,410.05400000000003,1,18.69,20.37467806822106,20.0
154,ATP,136.25,1,33.26,35.77724918196862,50.0
155,ATP,348.05400000000003,1,17.76,20.37467806822106,20.0
156,ATP,428.05400000000003,1,21.26,20.37467806822106,20.0
158,beta-Alanine,61.012,1,14.01,14.247472741080587,30.0
159,CMP-sialic-acid,323.786,1,13.21,18.127630203098107,10.0
160,CMP-sialic-acid,111.804,1,30.36,28.39601094559649,30.0
161,CMP-sialic-acid,97.196,1,33.48,38.66439168809486,50.0
162,cAMP,136.125,1,26.61,25.848470027816386,40.0
163,cAMP,119.167,1,53.36,46.38523151281314,80.0
164,Cystine,152.042,1,14.39,13.181257588373132,20.0
165,Cystine,122.054,1,16.71,15.748352773997727,25.0
166,Cystine,119.97,1,20.12,18.315447959622322,30.0
167,Cytidine,112.125,1,14.1,13.263752614195035,20.0
168,Cytidine,95.054,1,40.43,44.06889484169017,80.0
169,Cytidine,67.083,1,50.24,44.06889484169017,80.0
170,Dopamine,119.024,1,22.31,18.53985889792611,35.0
171,Dopamine,137.042,1,13.89,10.838573341052324,20.0
175,G1P,99.042,1,15.91,8.586115090608665,10.0
180,GABA,87.125,1,11.49,4.3567364763282965,10.0
181,GABA,69.054,1,16.58,14.625117218826675,30.0
182,GN6P,126.054,1,13.85,13.693791549267877,20.0
183,GN6P,206.054,1,12.46,8.559601178018685,10.0
184,GN6P,224.167,1,10.39,8.559601178018685,10.0
189,G6P,99.113,1,16.5,8.586115090608665,10.0
191,G6P,109.054,1,19.49,16.28740064748245,25.0
192,Glutamine,130.125,1,10.6,5.5155058989021635,10.0
