,Name,mz,rt_start,rt_end,Charge,Product mz,CE,HRMS_CE,Converted_CE
0,Adenosine,268.10400000000004,0.3,1,1,136.125,19.57,30.0,19.432209302325614
1,Adenosine,268.10400000000004,0.3,1,1,119.054,47.38,90.0,48.344534883720954
2,Adenosine,268.10400000000004,0.3,1,1,92.125,53.99,100.0,53.16325581395351
